Date,ETH,BTC,XRP,LTC,XLM,Palladium,Gold,HSI,N225,SP500,NVIDIA,AMD
2016-01-01,0.948024,434.33,0.005955,3.51,0.001748,562.0,1060.2,21914.400391,19033.710938,2035.4,32.96,2.87
2016-01-02,0.937124,433.44,0.006065,3.5,0.001741,562.0,1060.2,21914.400391,19033.710938,2035.4,32.96,2.87
2016-01-03,0.971905,430.01,0.006017,3.48,0.001744,562.0,1060.2,21914.400391,19033.710938,2035.4,32.96,2.87
2016-01-04,0.95448,433.09,0.005958,3.5,0.001748,544.2,1075.2,21327.119141,18450.980469,2009.1,32.37,2.77
2016-01-05,0.950176,431.96,0.006044,3.47,0.001721,535.75,1078.4,21188.720703,18374.0,2011.7,32.89,2.75
2016-01-06,0.95086,429.11,0.006003,3.45,0.001672,505.05,1091.9,20980.810547,18191.320313,1985.9,31.53,2.505
2016-01-07,0.942005,458.05,0.006039,3.6,0.001728,493.0,1107.8,20333.339844,17767.339844,1932.9,30.28,2.275
2016-01-08,0.986789,453.23,0.005933,3.57,0.001681,493.6,1097.9,20453.710938,17697.960938,1911.5,29.63,2.14
2016-01-09,0.986833,447.61,0.005982,3.56,0.001749,493.6,1097.9,20453.710938,17697.960938,1911.5,29.63,2.14
2016-01-10,0.999231,447.99,0.005956,3.54,0.001765,493.6,1097.9,20453.710938,17697.960938,1911.5,29.63,2.14
2016-01-11,1.06,448.43,0.005895,3.56,0.001739,474.3,1096.2,19888.5,17697.960938,1914.2,29.68,2.34
2016-01-12,1.14,435.69,0.005854,3.49,0.001743,469.8,1085.2,19711.759766,17218.960938,1924.9,30.18,2.39
2016-01-13,1.13,432.37,0.005794,3.48,0.001824,486.65,1087.1,19934.880859,17715.630859,1881.4,29.26,2.25
2016-01-14,1.19,430.31,0.005529,3.47,0.001914,491.25,1073.6,19817.410156,17240.949219,1914.6,28.67,2.21
2016-01-15,1.21,364.33,0.005229,3.0,0.001737,487.05,1090.7,19520.769531,17147.109375,1875.0,27.11,2.03
2016-01-16,1.22,387.54,0.005112,3.09,0.001748,487.05,1090.7,19520.769531,17147.109375,1875.0,27.11,2.03
2016-01-17,1.33,382.3,0.005266,3.03,0.001714,487.05,1090.7,19520.769531,17147.109375,1875.0,27.11,2.03
2016-01-18,1.43,387.17,0.005326,3.05,0.001711,487.05,1090.7,19237.449219,16955.570313,1875.0,27.11,2.03
2016-01-19,1.37,380.15,0.005271,3.02,0.001826,496.9,1089.1,19635.810547,17048.369141,1872.9,27.33,1.95
2016-01-20,1.53,420.23,0.005381,3.39,0.001821,489.0,1106.2,18886.300781,16416.189453,1854.9,27.48,1.8
2016-01-21,1.55,410.26,0.005313,3.22,0.001738,499.0,1098.2,18542.150391,16017.259766,1861.0,27.8,2.09
2016-01-22,1.5,382.49,0.005114,3.08,0.001704,499.85,1096.3,19080.509766,16958.529297,1899.2,28.45,2.02
2016-01-23,1.97,387.49,0.00512,3.1,0.001696,499.85,1096.3,19080.509766,16958.529297,1899.2,28.45,2.02
2016-01-24,2.14,402.97,0.005219,3.18,0.001723,499.85,1096.3,19080.509766,16958.529297,1899.2,28.45,2.02
2016-01-25,2.5,391.73,0.005135,3.13,0.001709,491.15,1105.3,19340.140625,17110.910156,1870.2,28.42,2.12
2016-01-26,2.28,392.15,0.005419,3.15,0.001901,492.75,1120.6,18860.800781,16708.900391,1895.9,28.7,2.07
2016-01-27,2.39,394.97,0.006506,3.29,0.002235,502.25,1116.3,19052.449219,17163.919922,1875.1,28.36,2.13
